iteration 1:	3 53 26 45 35 92 62 93 0 92 
iteration 2:	3 26 53 45 35 92 62 93 0 92 
iteration 3:	3 26 45 53 35 92 62 93 0 92 
iteration 4:	3 26 45 35 53 92 62 93 0 92 
iteration 5:	3 26 45 35 53 92 62 93 0 92 
iteration 6:	3 26 45 35 53 62 92 93 0 92 
iteration 7:	3 26 45 35 53 62 92 93 0 92 
iteration 8:	3 26 45 35 53 62 92 0 93 92 
iteration 9:	3 26 45 35 53 62 92 0 92 93 
iteration 10:	3 26 45 35 53 62 92 0 92 93 
iteration 11:	3 26 45 35 53 62 92 0 92 93 
iteration 12:	3 26 35 45 53 62 92 0 92 93 
iteration 13:	3 26 35 45 53 62 92 0 92 93 
iteration 14:	3 26 35 45 53 62 92 0 92 93 
iteration 15:	3 26 35 45 53 62 92 0 92 93 
iteration 16:	3 26 35 45 53 62 0 92 92 93 
iteration 17:	3 26 35 45 53 62 0 92 92 93 
iteration 18:	3 26 35 45 53 62 0 92 92 93 
iteration 19:	3 26 35 45 53 62 0 92 92 93 
iteration 20:	3 26 35 45 53 62 0 92 92 93 
iteration 21:	3 26 35 45 53 62 0 92 92 93 
iteration 22:	3 26 35 45 53 62 0 92 92 93 
iteration 23:	3 26 35 45 53 0 62 92 92 93 
iteration 24:	3 26 35 45 53 0 62 92 92 93 
iteration 25:	3 26 35 45 53 0 62 92 92 93 
iteration 26:	3 26 35 45 53 0 62 92 92 93 
iteration 27:	3 26 35 45 53 0 62 92 92 93 
iteration 28:	3 26 35 45 53 0 62 92 92 93 
iteration 29:	3 26 35 45 0 53 62 92 92 93 
iteration 30:	3 26 35 45 0 53 62 92 92 93 
iteration 31:	3 26 35 45 0 53 62 92 92 93 
iteration 32:	3 26 35 45 0 53 62 92 92 93 
iteration 33:	3 26 35 45 0 53 62 92 92 93 
iteration 34:	3 26 35 0 45 53 62 92 92 93 
iteration 35:	3 26 35 0 45 53 62 92 92 93 
iteration 36:	3 26 35 0 45 53 62 92 92 93 
iteration 37:	3 26 35 0 45 53 62 92 92 93 
iteration 38:	3 26 0 35 45 53 62 92 92 93 
iteration 39:	3 26 0 35 45 53 62 92 92 93 
iteration 40:	3 26 0 35 45 53 62 92 92 93 
iteration 41:	3 0 26 35 45 53 62 92 92 93 
iteration 42:	3 0 26 35 45 53 62 92 92 93 
iteration 43:	0 3 26 35 45 53 62 92 92 93 
iteration 44:	0 3 26 35 45 53 62 92 92 93 
iteration 45:	0 3 26 35 45 53 62 92 92 93 
